Dataset,Key,Service,Duration,WER
voicelogic,rcastweedman827144,whisper,26,0.02857142857142857
voicelogic,rcastweedman827144,speechmatics,26,0.08571428571428572
voicelogic,rcastweedman827144,google,26,0.14285714285714285
voicelogic,rcastweedman827144,deepgram,26,0.08108108108108109
voicelogic,rcastweedman827144,aws,26,0.08571428571428572
voicelogic,rcastweedman827144,3scribe,26,0.11428571428571428
voicelogic,rcasttravel613230,whisper,36,0.10752688172043011
voicelogic,rcasttravel613230,speechmatics,36,0.08602150537634409
voicelogic,rcasttravel613230,google,36,0.1978021978021978
voicelogic,rcasttravel613230,deepgram,36,0.13541666666666666
voicelogic,rcasttravel613230,aws,36,0.07692307692307693
voicelogic,rcasttravel613230,3scribe,36,0.07692307692307693
voicelogic,rcasttelehoppaymentreminder125812,whisper,31,0.03389830508474576
voicelogic,rcasttelehoppaymentreminder125812,speechmatics,31,0.05084745762711865
voicelogic,rcasttelehoppaymentreminder125812,google,31,0.11864406779661017
voicelogic,rcasttelehoppaymentreminder125812,deepgram,31,0.08196721311475409
voicelogic,rcasttelehoppaymentreminder125812,aws,31,0.03389830508474576
voicelogic,rcasttelehoppaymentreminder125812,3scribe,31,0.03389830508474576
voicelogic,rcaststatefarm200326,whisper,26,0
voicelogic,rcaststatefarm200326,speechmatics,26,0.12280701754385964
voicelogic,rcaststatefarm200326,google,26,0.125
voicelogic,rcaststatefarm200326,deepgram,26,0.1206896551724138
voicelogic,rcaststatefarm200326,aws,26,0.07142857142857142
voicelogic,rcaststatefarm200326,3scribe,26,0.017857142857142856
voicelogic,rcastsprintcanada718576,whisper,56,0.006535947712418301
voicelogic,rcastsprintcanada718576,speechmatics,56,0.09740259740259741
voicelogic,rcastsprintcanada718576,google,56,0.09032258064516129
voicelogic,rcastsprintcanada718576,deepgram,56,0.15757575757575756
voicelogic,rcastsprintcanada718576,aws,56,0.07142857142857142
voicelogic,rcastsprintcanada718576,3scribe,56,0.05128205128205128
voicelogic,rcastsearsphoto514001,whisper,28,0.02564102564102564
voicelogic,rcastsearsphoto514001,speechmatics,28,0.1125
voicelogic,rcastsearsphoto514001,google,28,0.1794871794871795
voicelogic,rcastsearsphoto514001,deepgram,28,0.08860759493670886
voicelogic,rcastsearsphoto514001,aws,28,0.0625
voicelogic,rcastsearsphoto514001,3scribe,28,0.0625
voicelogic,rcastrecruitmentcustomintro814659,whisper,21,0.024390243902439025
voicelogic,rcastrecruitmentcustomintro814659,speechmatics,21,0.04878048780487805
voicelogic,rcastrecruitmentcustomintro814659,google,21,0.14634146341463414
voicelogic,rcastrecruitmentcustomintro814659,deepgram,21,0.07317073170731707
voicelogic,rcastrecruitmentcustomintro814659,aws,21,0.04878048780487805
voicelogic,rcastrecruitmentcustomintro814659,3scribe,21,0.024390243902439025
voicelogic,rcastpoliticalusa360111,whisper,45,0.04132231404958678
voicelogic,rcastpoliticalusa360111,speechmatics,45,0.03305785123966942
voicelogic,rcastpoliticalusa360111,google,45,0.21487603305785125
voicelogic,rcastpoliticalusa360111,deepgram,45,0.03305785123966942
voicelogic,rcastpoliticalusa360111,aws,45,0.04132231404958678
voicelogic,rcastpoliticalusa360111,3scribe,45,0.04132231404958678
voicelogic,rcastpolitical124579,whisper,71,0
voicelogic,rcastpolitical124579,speechmatics,71,0.5483870967741935
voicelogic,rcastpolitical124579,google,71,0.43373493975903615
voicelogic,rcastpolitical124579,deepgram,71,0.3132530120481928
voicelogic,rcastpolitical124579,aws,71,0.3614457831325301
voicelogic,rcastpolitical124579,3scribe,71,0.27710843373493976
voicelogic,rcastorleansfundraiser554367,whisper,60,0
voicelogic,rcastorleansfundraiser554367,speechmatics,60,0.4805194805194805
voicelogic,rcastorleansfundraiser554367,google,60,0.26
voicelogic,rcastorleansfundraiser554367,deepgram,60,0.19791666666666666
voicelogic,rcastorleansfundraiser554367,aws,60,0.16129032258064516
voicelogic,rcastorleansfundraiser554367,3scribe,60,0.11827956989247312
voicelogic,rcastnurseassoc200256,whisper,81,0.027522935779816515
voicelogic,rcastnurseassoc200256,speechmatics,81,0.07339449541284404
voicelogic,rcastnurseassoc200256,google,81,0.13302752293577982
voicelogic,rcastnurseassoc200256,deepgram,81,0.084070796460177
voicelogic,rcastnurseassoc200256,aws,81,0.0871559633027523
voicelogic,rcastnurseassoc200256,3scribe,81,0.045871559633027525
voicelogic,rcastnotice216750,whisper,41,0.011235955056179775
voicelogic,rcastnotice216750,speechmatics,41,0.06741573033707865
voicelogic,rcastnotice216750,google,41,0.11363636363636363
voicelogic,rcastnotice216750,deepgram,41,0.11956521739130435
voicelogic,rcastnotice216750,aws,41,0.022727272727272728
voicelogic,rcastnotice216750,3scribe,41,0.011363636363636364
voicelogic,rcastnationalpost200278,whisper,47,0.08421052631578947
